accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k
Q9XG86,394,0.13959390862944163,55,MTL (05 frozen),residue_head,0.5741485652990078,0.21431817986489352,0.1818181872367859
Q9XG86,394,0.13959390862944163,55,MTL (05 frozen),attention_weights,0.4626441405202467,0.1283384216414554,0.12727272510528564
Q9XG86,394,0.13959390862944163,55,MTL (05 frozen),integrated_gradients,0.45197103781174575,0.12295226713257547,0.05454545468091965
Q9XG86,394,0.13959390862944163,55,MTL (05 frozen),random_mean,0.5072496647894877,0.15463868322068378,0.1514545451104641
Q71SP0,157,0.3630573248407643,57,MTL (05 frozen),residue_head,0.5668421052631579,0.563653075350602,0.5263158082962036
Q71SP0,157,0.3630573248407643,57,MTL (05 frozen),attention_weights,0.48771929824561394,0.40312816520806816,0.2982456088066101
Q71SP0,157,0.3630573248407643,57,MTL (05 frozen),integrated_gradients,0.4445614035087719,0.33436113515543137,0.3684210479259491
Q71SP0,157,0.3630573248407643,57,MTL (05 frozen),random_mean,0.5051719298245615,0.384562002442561,0.36543859496712683
2EJN_A,153,0.42483660130718953,65,MTL (05 frozen),residue_head,0.7896853146853147,0.7048479962580025,0.6461538672447205
2EJN_A,153,0.42483660130718953,65,MTL (05 frozen),attention_weights,0.44055944055944063,0.3974861038641062,0.3692307770252228
2EJN_A,153,0.42483660130718953,65,MTL (05 frozen),integrated_gradients,0.3643356643356644,0.35240815643585155,0.35384616255760193
2EJN_A,153,0.42483660130718953,65,MTL (05 frozen),random_mean,0.5024055944055944,0.4419815893879482,0.4273846220970154
Q9M4S2,367,0.20435967302452315,75,MTL (05 frozen),residue_head,0.8211415525114155,0.5000447759522787,0.4933333396911621
Q9M4S2,367,0.20435967302452315,75,MTL (05 frozen),attention_weights,0.4225114155251141,0.178023679979325,0.1599999964237213
Q9M4S2,367,0.20435967302452315,75,MTL (05 frozen),integrated_gradients,0.6286301369863014,0.2532967942457151,0.2266666740179062
Q9M4S2,367,0.20435967302452315,75,MTL (05 frozen),random_mean,0.5014940639269407,0.21859704302080502,0.21013333439826964
Q9SCG9,367,0.14986376021798364,55,MTL (05 frozen),residue_head,0.5620629370629371,0.16333845203650033,0.1090909093618393
Q9SCG9,367,0.14986376021798364,55,MTL (05 frozen),attention_weights,0.5344988344988345,0.16613563806920006,0.145454540848732
Q9SCG9,367,0.14986376021798364,55,MTL (05 frozen),integrated_gradients,0.5043123543123542,0.14782602744962953,0.09090909361839294
Q9SCG9,367,0.14986376021798364,55,MTL (05 frozen),random_mean,0.4960646853146853,0.16061318915509784,0.14618181692436338
P43187,205,0.07317073170731707,15,MTL (05 frozen),residue_head,0.74,0.19176808396652978,0.2666666805744171
P43187,205,0.07317073170731707,15,MTL (05 frozen),attention_weights,0.4628070175438596,0.06830404821107582,0.06666667014360428
P43187,205,0.07317073170731707,15,MTL (05 frozen),integrated_gradients,0.20771929824561405,0.04679207091768999,0.0
P43187,205,0.07317073170731707,15,MTL (05 frozen),random_mean,0.513659649122807,0.10584345590553788,0.08466667026281356
P40108,496,0.03024193548387097,15,MTL (05 frozen),residue_head,0.6367290367290368,0.040793000458807016,0.0
P40108,496,0.03024193548387097,15,MTL (05 frozen),attention_weights,0.38627858627858624,0.024151915757604524,0.0
P40108,496,0.03024193548387097,15,MTL (05 frozen),integrated_gradients,0.4432432432432432,0.029177862775837084,0.0
P40108,496,0.03024193548387097,15,MTL (05 frozen),random_mean,0.4987733887733887,0.04350335996184612,0.034000001773238184
A0ABI7XHC5,214,0.2102803738317757,45,MTL (05 frozen),residue_head,0.6414201183431953,0.26487782388552944,0.2222222238779068
A0ABI7XHC5,214,0.2102803738317757,45,MTL (05 frozen),attention_weights,0.4887573964497042,0.19954945174992644,0.17777778208255768
A0ABI7XHC5,214,0.2102803738317757,45,MTL (05 frozen),integrated_gradients,0.5304404996712688,0.20578741806656653,0.1111111119389534
A0ABI7XHC5,214,0.2102803738317757,45,MTL (05 frozen),random_mean,0.49885864562787646,0.22926795229722616,0.21311111636459829
A0PJ16,396,0.6893939393939394,273,MTL (05 frozen),residue_head,0.7786711933053396,0.850772589862935,0.8278388381004333
A0PJ16,396,0.6893939393939394,273,MTL (05 frozen),attention_weights,0.35376276839691473,0.6112501929477052,0.6263736486434937
A0PJ16,396,0.6893939393939394,273,MTL (05 frozen),integrated_gradients,0.38649155722326456,0.6089035823944878,0.6556776762008667
A0PJ16,396,0.6893939393939394,273,MTL (05 frozen),random_mean,0.5000190595312547,0.6930940987129007,0.688571447134018
E1XUL4,397,0.6574307304785895,261,MTL (05 frozen),residue_head,0.8124295695289612,0.8709624340012179,0.8160919547080994
E1XUL4,397,0.6574307304785895,261,MTL (05 frozen),attention_weights,0.4254845616407482,0.6189981309976322,0.6168582439422607
E1XUL4,397,0.6574307304785895,261,MTL (05 frozen),integrated_gradients,0.4713488843813387,0.6042729626351009,0.6743295192718506
E1XUL4,397,0.6574307304785895,261,MTL (05 frozen),random_mean,0.4984178498985801,0.6611549444171736,0.6562835294008255
P27760,398,0.2185929648241206,87,MTL (05 frozen),residue_head,0.7391432900912888,0.3353099962339935,0.3218390941619873
P27760,398,0.2185929648241206,87,MTL (05 frozen),attention_weights,0.46864027793177365,0.21309403806160696,0.2068965584039688
P27760,398,0.2185929648241206,87,MTL (05 frozen),integrated_gradients,0.4010052851387811,0.1741493092152726,0.1149425283074379
P27760,398,0.2185929648241206,87,MTL (05 frozen),random_mean,0.5040460878885316,0.23114034275291703,0.22241379387676716
P00711,142,0.5985915492957746,85,MTL (05 frozen),residue_head,0.7393188854489163,0.8461543831568927,0.7058823704719543
P00711,142,0.5985915492957746,85,MTL (05 frozen),attention_weights,0.5316821465428276,0.6227934212079504,0.5764706134796143
P00711,142,0.5985915492957746,85,MTL (05 frozen),integrated_gradients,0.27306501547987616,0.45812209089946254,0.5176470875740051
P00711,142,0.5985915492957746,85,MTL (05 frozen),random_mean,0.4994179566563468,0.6105792317184785,0.599058847129345
K7AES0,374,0.2967914438502674,111,MTL (05 frozen),residue_head,0.7598054328092352,0.5811785868834995,0.5585585832595825
K7AES0,374,0.2967914438502674,111,MTL (05 frozen),attention_weights,0.3377522008700716,0.23625018635726958,0.1621621549129486
K7AES0,374,0.2967914438502674,111,MTL (05 frozen),integrated_gradients,0.5901757270578564,0.46363286815313093,0.4054054021835327
K7AES0,374,0.2967914438502674,111,MTL (05 frozen),random_mean,0.5005686294659679,0.30684059629086724,0.2972972974181175
K7AJH7,73,0.547945205479452,40,MTL (05 frozen),residue_head,0.7553030303030303,0.7511889976565611,0.75
K7AJH7,73,0.547945205479452,40,MTL (05 frozen),attention_weights,0.47575757575757577,0.5523583779693354,0.550000011920929
K7AJH7,73,0.547945205479452,40,MTL (05 frozen),integrated_gradients,0.5833333333333333,0.7076156017736087,0.550000011920929
K7AJH7,73,0.547945205479452,40,MTL (05 frozen),random_mean,0.4955530303030302,0.5684340525713852,0.5447499948740006
K6Z7P7,238,0.12605042016806722,30,MTL (05 frozen),residue_head,0.5618589743589744,0.21233273955840729,0.23333333432674408
K6Z7P7,238,0.12605042016806722,30,MTL (05 frozen),attention_weights,0.3697115384615385,0.09573534451009884,0.0
K6Z7P7,238,0.12605042016806722,30,MTL (05 frozen),integrated_gradients,0.5785256410256411,0.14312419132704224,0.13333334028720856
K6Z7P7,238,0.12605042016806722,30,MTL (05 frozen),random_mean,0.5007131410256409,0.14156074476736719,0.12200000390410423
K6Z6I9,434,0.1382488479262673,60,MTL (05 frozen),residue_head,0.32419786096256686,0.11331569947916259,0.03333333507180214
K6Z6I9,434,0.1382488479262673,60,MTL (05 frozen),attention_weights,0.4200534759358289,0.1129218808953533,0.05000000074505806
K6Z6I9,434,0.1382488479262673,60,MTL (05 frozen),integrated_gradients,0.5915329768270945,0.20084117029119286,0.2666666805744171
K6Z6I9,434,0.1382488479262673,60,MTL (05 frozen),random_mean,0.5010383244206773,0.15035650247909965,0.13816667024046184
K6ZY35,71,0.704225352112676,50,MTL (05 frozen),residue_head,0.7971428571428572,0.9128622525849117,0.8199999928474426
K6ZY35,71,0.704225352112676,50,MTL (05 frozen),attention_weights,0.4838095238095238,0.6861182203839562,0.6800000071525574
K6ZY35,71,0.704225352112676,50,MTL (05 frozen),integrated_gradients,0.35619047619047617,0.6157185549175255,0.6600000262260437
K6ZY35,71,0.704225352112676,50,MTL (05 frozen),random_mean,0.5018952380952382,0.7233805952555619,0.7048000067472457
K7AFF4,173,0.17341040462427745,30,MTL (05 frozen),residue_head,0.8365967365967366,0.5226616843735764,0.4000000059604645
K7AFF4,173,0.17341040462427745,30,MTL (05 frozen),attention_weights,0.2582750582750582,0.11507459659809066,0.0
K7AFF4,173,0.17341040462427745,30,MTL (05 frozen),integrated_gradients,0.3995337995337995,0.14299202002985778,0.10000000149011612
K7AFF4,173,0.17341040462427745,30,MTL (05 frozen),random_mean,0.4958205128205128,0.1945977455430266,0.17866667155176402
K6Z707,239,0.4100418410041841,98,MTL (05 frozen),residue_head,0.743450571718049,0.6469676510237853,0.6122449040412903
K6Z707,239,0.4100418410041841,98,MTL (05 frozen),attention_weights,0.3529454334925459,0.33259718902639634,0.27551019191741943
K6Z707,239,0.4100418410041841,98,MTL (05 frozen),integrated_gradients,0.41981473440440004,0.3507051666000646,0.33673468232154846
K6Z707,239,0.4100418410041841,98,MTL (05 frozen),random_mean,0.49886090606455347,0.41985193250895636,0.4114285737276077
K7AFJ3,663,0.11312217194570136,75,MTL (05 frozen),residue_head,0.6995011337868481,0.1791529812722592,0.1599999964237213
K7AFJ3,663,0.11312217194570136,75,MTL (05 frozen),attention_weights,0.4853741496598639,0.11657509984258321,0.14666666090488434
K7AFJ3,663,0.11312217194570136,75,MTL (05 frozen),integrated_gradients,0.45916099773242625,0.10966631375848569,0.1066666692495346
K7AFJ3,663,0.11312217194570136,75,MTL (05 frozen),random_mean,0.49836507936507934,0.12030955253432143,0.10973333321511745
K7B0J2,75,0.48,36,MTL (05 frozen),residue_head,0.6773504273504273,0.654814194197088,0.6111111044883728
K7B0J2,75,0.48,36,MTL (05 frozen),attention_weights,0.41595441595441596,0.450228756887878,0.3888888955116272
K7B0J2,75,0.48,36,MTL (05 frozen),integrated_gradients,0.5014245014245015,0.4583346737693879,0.5
K7B0J2,75,0.48,36,MTL (05 frozen),random_mean,0.4988319088319089,0.5023016590150265,0.47638889014720914
K7AFB3,151,0.15894039735099338,24,MTL (05 frozen),residue_head,0.45341207349081364,0.14038850494173552,0.0416666679084301
K7AFB3,151,0.15894039735099338,24,MTL (05 frozen),attention_weights,0.3585958005249344,0.12185020734831191,0.0833333358168602
K7AFB3,151,0.15894039735099338,24,MTL (05 frozen),integrated_gradients,0.37139107611548555,0.12465636524695883,0.0833333358168602
K7AFB3,151,0.15894039735099338,24,MTL (05 frozen),random_mean,0.4982808398950131,0.18500145677097485,0.15958333399146796
K6Z6W8,79,0.379746835443038,30,MTL (05 frozen),residue_head,0.7163265306122449,0.6738345777339557,0.5666666626930237
K6Z6W8,79,0.379746835443038,30,MTL (05 frozen),attention_weights,0.39591836734693875,0.31195654758051666,0.23333333432674408
K6Z6W8,79,0.379746835443038,30,MTL (05 frozen),integrated_gradients,0.4027210884353742,0.34154236779469316,0.2666666805744171
K6Z6W8,79,0.379746835443038,30,MTL (05 frozen),random_mean,0.4943061224489796,0.40471684906436356,0.366000008136034
K7B0S9,108,0.1388888888888889,15,MTL (05 frozen),residue_head,0.6688172043010753,0.2636589684348306,0.2666666805744171
K7B0S9,108,0.1388888888888889,15,MTL (05 frozen),attention_weights,0.4050179211469534,0.1432307100669558,0.13333334028720856
K7B0S9,108,0.1388888888888889,15,MTL (05 frozen),integrated_gradients,0.4917562724014337,0.1467387910257959,0.06666667014360428
K7B0S9,108,0.1388888888888889,15,MTL (05 frozen),random_mean,0.49951971326164873,0.17820900775775805,0.14200000524520873
K7AKA2,455,0.06593406593406594,30,MTL (05 frozen),residue_head,0.33780392156862743,0.0475371643583893,0.0
K7AKA2,455,0.06593406593406594,30,MTL (05 frozen),attention_weights,0.5821176470588235,0.07555898200414474,0.03333333507180214
K7AKA2,455,0.06593406593406594,30,MTL (05 frozen),integrated_gradients,0.3187450980392157,0.04591237108583567,0.0
K7AKA2,455,0.06593406593406594,30,MTL (05 frozen),random_mean,0.49179019607843133,0.07425573642642438,0.0586666689068079
K6ZY75,107,0.14018691588785046,15,MTL (05 frozen),residue_head,0.6355072463768116,0.19046960122063217,0.13333334028720856
K6ZY75,107,0.14018691588785046,15,MTL (05 frozen),attention_weights,0.408695652173913,0.11828664608250272,0.0
K6ZY75,107,0.14018691588785046,15,MTL (05 frozen),integrated_gradients,0.4615942028985507,0.1461846388924802,0.13333334028720856
K6ZY75,107,0.14018691588785046,15,MTL (05 frozen),random_mean,0.49038405797101453,0.1712774007134354,0.13133333913981915
K6Z6R1,83,0.3614457831325301,30,MTL (05 frozen),residue_head,0.5773584905660377,0.43308332012112405,0.4333333373069763
K6Z6R1,83,0.3614457831325301,30,MTL (05 frozen),attention_weights,0.540251572327044,0.41503068458882786,0.4000000059604645
K6Z6R1,83,0.3614457831325301,30,MTL (05 frozen),integrated_gradients,0.19182389937106917,0.24204207188227617,0.10000000149011612
K6Z6R1,83,0.3614457831325301,30,MTL (05 frozen),random_mean,0.5025849056603774,0.39815921179430164,0.3703333409130573
K7AEU1,437,0.034324942791762014,15,MTL (05 frozen),residue_head,0.6325434439178514,0.04531043264486817,0.0
K7AEU1,437,0.034324942791762014,15,MTL (05 frozen),attention_weights,0.34439178515007896,0.026240415440555512,0.0
K7AEU1,437,0.034324942791762014,15,MTL (05 frozen),integrated_gradients,0.5296998420221168,0.039991115869925924,0.0
K7AEU1,437,0.034324942791762014,15,MTL (05 frozen),random_mean,0.5037124802527646,0.04866296704045354,0.03600000187754631
K7AET4,180,0.08333333333333333,15,MTL (05 frozen),residue_head,0.9276767676767677,0.5905085285085284,0.46666666865348816
K7AET4,180,0.08333333333333333,15,MTL (05 frozen),attention_weights,0.4387878787878788,0.07454699294077646,0.0
K7AET4,180,0.08333333333333333,15,MTL (05 frozen),integrated_gradients,0.6197979797979798,0.15187517246201876,0.2666666805744171
K7AET4,180,0.08333333333333333,15,MTL (05 frozen),random_mean,0.5067676767676769,0.11181580594318119,0.09266667045652867
Q2KN26,83,0.3132530120481928,26,MTL (05 frozen),residue_head,0.6261808367071525,0.42738713056296945,0.38461539149284363
Q2KN26,83,0.3132530120481928,26,MTL (05 frozen),attention_weights,0.47435897435897434,0.2915362482539217,0.23076923191547394
Q2KN26,83,0.3132530120481928,26,MTL (05 frozen),integrated_gradients,0.1977058029689609,0.20628740277770566,0.11538461595773697
Q2KN26,83,0.3132530120481928,26,MTL (05 frozen),random_mean,0.5047435897435899,0.3551104082823224,0.3188461624085903
P28744,392,0.12244897959183673,48,MTL (05 frozen),residue_head,0.3918968023255814,0.10488675718636538,0.0625
P28744,392,0.12244897959183673,48,MTL (05 frozen),attention_weights,0.592296511627907,0.15503009590075933,0.1458333283662796
P28744,392,0.12244897959183673,48,MTL (05 frozen),integrated_gradients,0.40013323643410853,0.1038199637867607,0.0833333358168602
P28744,392,0.12244897959183673,48,MTL (05 frozen),random_mean,0.49952337693798454,0.1356023325274883,0.12208333265036345
A0A140KPR6,343,0.4489795918367347,154,MTL (05 frozen),residue_head,0.429361643647358,0.41072234734763646,0.3896103799343109
A0A140KPR6,343,0.4489795918367347,154,MTL (05 frozen),attention_weights,0.48931491788634646,0.44990577498353723,0.4285714328289032
A0A140KPR6,343,0.4489795918367347,154,MTL (05 frozen),integrated_gradients,0.536384250669965,0.49833325052229027,0.48701298236846924
A0A140KPR6,343,0.4489795918367347,154,MTL (05 frozen),random_mean,0.4998158455301312,0.45797270501287235,0.45032467544078825
A1KXH6,219,0.136986301369863,30,MTL (05 frozen),residue_head,0.5950617283950617,0.16303048844360157,0.06666667014360428
A1KXH6,219,0.136986301369863,30,MTL (05 frozen),attention_weights,0.4985890652557319,0.15107747100927793,0.13333334028720856
A1KXH6,219,0.136986301369863,30,MTL (05 frozen),integrated_gradients,0.22380952380952385,0.08649273744398037,0.0
A1KXH6,219,0.136986301369863,30,MTL (05 frozen),random_mean,0.49846737213403886,0.15534560190036775,0.1356666709110141
A0A6P6Y1G3,132,0.11363636363636363,15,MTL (05 frozen),residue_head,0.7977207977207977,0.4204810343449289,0.46666666865348816
A0A6P6Y1G3,132,0.11363636363636363,15,MTL (05 frozen),attention_weights,0.46723646723646717,0.11837694078042132,0.13333334028720856
A0A6P6Y1G3,132,0.11363636363636363,15,MTL (05 frozen),integrated_gradients,0.46951566951566953,0.1056228991724793,0.0
A0A6P6Y1G3,132,0.11363636363636363,15,MTL (05 frozen),random_mean,0.49849002849002844,0.14044019281337047,0.10400000408291817
A0A482J3M1,844,0.07701421800947868,65,MTL (05 frozen),residue_head,0.8544682531845561,0.39427288956799783,0.3692307770252228
A0A482J3M1,844,0.07701421800947868,65,MTL (05 frozen),attention_weights,0.33664461340969687,0.05430408524623612,0.015384615398943424
A0A482J3M1,844,0.07701421800947868,65,MTL (05 frozen),integrated_gradients,0.4674632171422929,0.06730359283285856,0.0
A0A482J3M1,844,0.07701421800947868,65,MTL (05 frozen),random_mean,0.497564332971265,0.08255975240773168,0.07369230884127319
A0A6P6XZL9,125,0.184,23,MTL (05 frozen),residue_head,0.6939471440750213,0.2776860413225279,0.260869562625885
A0A6P6XZL9,125,0.184,23,MTL (05 frozen),attention_weights,0.28218243819266836,0.12866174396873048,0.043478261679410934
A0A6P6XZL9,125,0.184,23,MTL (05 frozen),integrated_gradients,0.25703324808184147,0.12392361048586237,0.0
A0A6P6XZL9,125,0.184,23,MTL (05 frozen),random_mean,0.5069906223358909,0.21385120472225147,0.18434782430529595
A5X5X4,155,0.1935483870967742,30,MTL (05 frozen),residue_head,0.8170666666666667,0.6196316369191921,0.6000000238418579
A5X5X4,155,0.1935483870967742,30,MTL (05 frozen),attention_weights,0.40293333333333337,0.16367571695910665,0.10000000149011612
A5X5X4,155,0.1935483870967742,30,MTL (05 frozen),integrated_gradients,0.2674666666666667,0.13169514341231736,0.0
A5X5X4,155,0.1935483870967742,30,MTL (05 frozen),random_mean,0.495848,0.2180122932066343,0.19233333818614484
A0A6P6YJM8,536,0.027985074626865673,15,MTL (05 frozen),residue_head,0.6954574536148432,0.12135375814385177,0.06666667014360428
A0A6P6YJM8,536,0.027985074626865673,15,MTL (05 frozen),attention_weights,0.4243122200895714,0.029877301211013684,0.0
A0A6P6YJM8,536,0.027985074626865673,15,MTL (05 frozen),integrated_gradients,0.9877159309021113,0.6022501187609547,0.5333333611488342
A0A6P6YJM8,536,0.027985074626865673,15,MTL (05 frozen),random_mean,0.5113781190019194,0.04135441469245943,0.03400000169873238
Q8RYC0,306,0.4444444444444444,136,MTL (05 frozen),residue_head,0.5666089965397924,0.5009725229543364,0.49264705181121826
Q8RYC0,306,0.4444444444444444,136,MTL (05 frozen),attention_weights,0.4862456747404845,0.4192796034252901,0.4779411852359772
Q8RYC0,306,0.4444444444444444,136,MTL (05 frozen),integrated_gradients,0.3525519031141868,0.3486178459150218,0.3235294222831726
Q8RYC0,306,0.4444444444444444,136,MTL (05 frozen),random_mean,0.49904714532871963,0.4516082707041842,0.4434558817744255
P01887,119,0.1092436974789916,13,MTL (05 frozen),residue_head,0.42017416545718433,0.10002536697778061,0.07692307978868484
P01887,119,0.1092436974789916,13,MTL (05 frozen),attention_weights,0.862844702467344,0.34334447323665024,0.3076923191547394
P01887,119,0.1092436974789916,13,MTL (05 frozen),integrated_gradients,0.27721335268505076,0.07695757783899425,0.0
P01887,119,0.1092436974789916,13,MTL (05 frozen),random_mean,0.4994121915820029,0.14048541493450858,0.106153848990798
P82615,228,0.31140350877192985,71,MTL (05 frozen),residue_head,0.8541311563649412,0.7289509606325917,0.6619718074798584
P82615,228,0.31140350877192985,71,MTL (05 frozen),attention_weights,0.6020453933793847,0.40503995792031533,0.39436620473861694
P82615,228,0.31140350877192985,71,MTL (05 frozen),integrated_gradients,0.41266708531443436,0.2551319985190238,0.18309858441352844
P82615,228,0.31140350877192985,71,MTL (05 frozen),random_mean,0.4985619449179151,0.32673131808928796,0.3119718308746815
P51437,172,0.08139534883720931,14,MTL (05 frozen),residue_head,0.6360759493670887,0.10622358666362294,0.0
P51437,172,0.08139534883720931,14,MTL (05 frozen),attention_weights,0.28797468354430383,0.05778026638308202,0.0
P51437,172,0.08139534883720931,14,MTL (05 frozen),integrated_gradients,0.46609403254972875,0.07754235564125575,0.0
P51437,172,0.08139534883720931,14,MTL (05 frozen),random_mean,0.5054656419529837,0.10812324428072959,0.08214286044239998
P01837,107,0.14018691588785046,15,MTL (05 frozen),residue_head,0.5123188405797101,0.17033402474329365,0.06666667014360428
P01837,107,0.14018691588785046,15,MTL (05 frozen),attention_weights,0.5123188405797101,0.2259893944253234,0.20000000298023224
P01837,107,0.14018691588785046,15,MTL (05 frozen),integrated_gradients,0.9528985507246377,0.7410995713188695,0.6666666865348816
P01837,107,0.14018691588785046,15,MTL (05 frozen),random_mean,0.4913840579710144,0.17118729076132702,0.13066667161881923
Q6S5I3,108,0.5092592592592593,55,MTL (05 frozen),residue_head,0.6463121783876501,0.5935571093874066,0.581818163394928
Q6S5I3,108,0.5092592592592593,55,MTL (05 frozen),attention_weights,0.5135506003430532,0.4956130030934046,0.5272727012634277
Q6S5I3,108,0.5092592592592593,55,MTL (05 frozen),integrated_gradients,0.30600343053173246,0.38998093990500615,0.3636363744735718
Q6S5I3,108,0.5092592592592593,55,MTL (05 frozen),random_mean,0.49914579759862787,0.5273345322045968,0.5087272733449936
A8DUK4,147,0.5306122448979592,78,MTL (05 frozen),residue_head,0.2956150130063174,0.4048144799693274,0.42307692766189575
A8DUK4,147,0.5306122448979592,78,MTL (05 frozen),attention_weights,0.6636937941285767,0.6691532264847072,0.6282051205635071
A8DUK4,147,0.5306122448979592,78,MTL (05 frozen),integrated_gradients,0.5611296915644742,0.6054867200151478,0.5641025900840759
A8DUK4,147,0.5306122448979592,78,MTL (05 frozen),random_mean,0.5037736900780379,0.5489688693224255,0.5302564209699631
A2BHR0,176,0.11363636363636363,20,MTL (05 frozen),residue_head,0.39775641025641023,0.09131184017621252,0.0
A2BHR0,176,0.11363636363636363,20,MTL (05 frozen),attention_weights,0.2644230769230769,0.07640927714884108,0.0
A2BHR0,176,0.11363636363636363,20,MTL (05 frozen),integrated_gradients,0.291025641025641,0.07869916133950215,0.0
