accession,seq_len,epitope_density,n_epitope_residues,model_family,method,auroc,auprc,precision_at_k,source_probe_rows_path
O04404,176,0.1079545454545454,19,Baseline (04),attention_weights,0.2081796848809922,0.0688056278287447,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O04404,176,0.1079545454545454,19,Baseline (04),integrated_gradients,0.333221589004358,0.0794373399392474,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
O04404,176,0.1079545454545454,19,Baseline (04),random_mean,0.4914984914515587,0.1295034146365386,0.1094736837595701,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q09072,222,0.1216216216216216,27,Baseline (04),attention_weights,0.5796771130104463,0.1461916978464097,0.1111111119389534,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q09072,222,0.1216216216216216,27,Baseline (04),integrated_gradients,0.6541310541310541,0.2206776419926639,0.2592592537403106,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q09072,222,0.1216216216216216,27,Baseline (04),random_mean,0.4954264007597341,0.1376338319766788,0.1185185182094574,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9XG86,394,0.1395939086294416,55,Baseline (04),attention_weights,0.463716814159292,0.1292047448881759,0.0909090936183929,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9XG86,394,0.1395939086294416,55,Baseline (04),integrated_gradients,0.3365513542504693,0.1038742277835889,0.0909090936183929,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9XG86,394,0.1395939086294416,55,Baseline (04),random_mean,0.5072496647894877,0.1546386832206837,0.1514545451104641,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q71SP0,157,0.3630573248407643,57,Baseline (04),attention_weights,0.5050877192982456,0.4622629392809038,0.3508771955966949,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q71SP0,157,0.3630573248407643,57,Baseline (04),integrated_gradients,0.3928070175438596,0.3030134860227209,0.3157894611358642,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q71SP0,157,0.3630573248407643,57,Baseline (04),random_mean,0.5051719298245615,0.384562002442561,0.3654385949671268,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
2EJN_A,153,0.4248366013071895,65,Baseline (04),attention_weights,0.4487762237762238,0.3987200023757474,0.3692307770252228,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
2EJN_A,153,0.4248366013071895,65,Baseline (04),integrated_gradients,0.3090909090909091,0.3233017093566015,0.2769230902194977,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
2EJN_A,153,0.4248366013071895,65,Baseline (04),random_mean,0.5024055944055944,0.4419815893879482,0.4273846220970154,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9M4S2,367,0.2043596730245231,75,Baseline (04),attention_weights,0.4246575342465753,0.1800327921272814,0.1599999964237213,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9M4S2,367,0.2043596730245231,75,Baseline (04),integrated_gradients,0.6514611872146119,0.2736429639794339,0.2533333301544189,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9M4S2,367,0.2043596730245231,75,Baseline (04),random_mean,0.5014940639269407,0.218597043020805,0.2101333343982696,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9SCG9,367,0.1498637602179836,55,Baseline (04),attention_weights,0.5324009324009323,0.1669294012259322,0.1636363565921783,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9SCG9,367,0.1498637602179836,55,Baseline (04),integrated_gradients,0.483974358974359,0.1507611887326887,0.1090909093618393,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
Q9SCG9,367,0.1498637602179836,55,Baseline (04),random_mean,0.4960646853146853,0.1606131891550978,0.1461818169243633,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P43187,205,0.073170731707317,15,Baseline (04),attention_weights,0.4719298245614035,0.0698386163908855,0.0666666701436042,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P43187,205,0.073170731707317,15,Baseline (04),integrated_gradients,0.1301754385964912,0.0433145155787955,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P43187,205,0.073170731707317,15,Baseline (04),random_mean,0.513659649122807,0.1058434559055378,0.0846666702628135,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P40108,496,0.0302419354838709,15,Baseline (04),attention_weights,0.3614691614691614,0.0231925378143477,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P40108,496,0.0302419354838709,15,Baseline (04),integrated_gradients,0.4605682605682605,0.0300561198372335,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P40108,496,0.0302419354838709,15,Baseline (04),random_mean,0.4987733887733887,0.0435033599618461,0.0340000017732381,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABI7XHC5,214,0.2102803738317757,45,Baseline (04),attention_weights,0.4877054569362261,0.1984967210107309,0.1555555611848831,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABI7XHC5,214,0.2102803738317757,45,Baseline (04),integrated_gradients,0.5162393162393162,0.2018888431471771,0.1111111119389534,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0ABI7XHC5,214,0.2102803738317757,45,Baseline (04),random_mean,0.4988586456278764,0.2292679522972261,0.2131111163645982,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0PJ16,396,0.6893939393939394,273,Baseline (04),attention_weights,0.3348819202477739,0.6023535935537959,0.6117216348648071,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0PJ16,396,0.6893939393939394,273,Baseline (04),integrated_gradients,0.3643050716221447,0.5935054987674014,0.6593406796455383,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
A0PJ16,396,0.6893939393939394,273,Baseline (04),random_mean,0.5000190595312547,0.6930940987129007,0.688571447134018,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
E1XUL4,397,0.6574307304785895,261,Baseline (04),attention_weights,0.4166103222898354,0.6157432277110029,0.6130267977714539,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
E1XUL4,397,0.6574307304785895,261,Baseline (04),integrated_gradients,0.4416553977913003,0.5926812520891074,0.6551724076271057,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
E1XUL4,397,0.6574307304785895,261,Baseline (04),random_mean,0.4984178498985801,0.6611549444171736,0.6562835294008255,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27760,398,0.2185929648241206,87,Baseline (04),attention_weights,0.4620246147022951,0.2093358696315151,0.1954022943973541,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27760,398,0.2185929648241206,87,Baseline (04),integrated_gradients,0.3548804375947074,0.1666523566415891,0.1034482792019844,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P27760,398,0.2185929648241206,87,Baseline (04),random_mean,0.5040460878885316,0.231140342752917,0.2224137938767671,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P00711,142,0.5985915492957746,85,Baseline (04),attention_weights,0.4934984520123838,0.6021348632504125,0.5411764979362488,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P00711,142,0.5985915492957746,85,Baseline (04),integrated_gradients,0.2831785345717235,0.4640991416106281,0.4941176474094391,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
P00711,142,0.5985915492957746,85,Baseline (04),random_mean,0.4994179566563468,0.6105792317184785,0.599058847129345,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AES0,374,0.2967914438502674,111,Baseline (04),attention_weights,0.3416572466002124,0.2332721219630436,0.171171173453331,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AES0,374,0.2967914438502674,111,Baseline (04),integrated_gradients,0.6110026376186072,0.4752229675658168,0.3873873949050903,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AES0,374,0.2967914438502674,111,Baseline (04),random_mean,0.5005686294659679,0.3068405962908672,0.2972972974181175,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AJH7,73,0.547945205479452,40,Baseline (04),attention_weights,0.4727272727272728,0.5623153752538992,0.550000011920929,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AJH7,73,0.547945205479452,40,Baseline (04),integrated_gradients,0.5795454545454545,0.704863237191706,0.550000011920929,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AJH7,73,0.547945205479452,40,Baseline (04),random_mean,0.4955530303030302,0.5684340525713852,0.5447499948740006,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z7P7,238,0.1260504201680672,30,Baseline (04),attention_weights,0.3557692307692308,0.0937383317008128,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z7P7,238,0.1260504201680672,30,Baseline (04),integrated_gradients,0.5612179487179487,0.1400907870030644,0.1000000014901161,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z7P7,238,0.1260504201680672,30,Baseline (04),random_mean,0.5007131410256409,0.1415607447673671,0.1220000039041042,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6I9,434,0.1382488479262673,60,Baseline (04),attention_weights,0.3948752228163992,0.1072741335351752,0.0333333350718021,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6I9,434,0.1382488479262673,60,Baseline (04),integrated_gradients,0.5404634581105169,0.1530241570193558,0.1666666716337204,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6I9,434,0.1382488479262673,60,Baseline (04),random_mean,0.5010383244206773,0.1503565024790996,0.1381666702404618,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6ZY35,71,0.704225352112676,50,Baseline (04),attention_weights,0.479047619047619,0.6871790118791441,0.6800000071525574,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6ZY35,71,0.704225352112676,50,Baseline (04),integrated_gradients,0.3380952380952381,0.6087648307698356,0.6600000262260437,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6ZY35,71,0.704225352112676,50,Baseline (04),random_mean,0.5018952380952382,0.7233805952555619,0.7048000067472457,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFF4,173,0.1734104046242774,30,Baseline (04),attention_weights,0.2221445221445221,0.1106839112777059,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFF4,173,0.1734104046242774,30,Baseline (04),integrated_gradients,0.4219114219114219,0.165700742759982,0.1000000014901161,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFF4,173,0.1734104046242774,30,Baseline (04),random_mean,0.4958205128205128,0.1945977455430266,0.178666671551764,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z707,239,0.4100418410041841,98,Baseline (04),attention_weights,0.3466492980170791,0.3289191383658154,0.2755101919174194,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z707,239,0.4100418410041841,98,Baseline (04),integrated_gradients,0.4696772325951657,0.3872629519954398,0.3979591727256775,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z707,239,0.4100418410041841,98,Baseline (04),random_mean,0.4988609060645534,0.4198519325089563,0.4114285737276077,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFJ3,663,0.1131221719457013,75,Baseline (04),attention_weights,0.4961451247165533,0.1187651424075349,0.1466666609048843,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFJ3,663,0.1131221719457013,75,Baseline (04),integrated_gradients,0.485124716553288,0.1207521598095646,0.1199999973177909,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFJ3,663,0.1131221719457013,75,Baseline (04),random_mean,0.4983650793650793,0.1203095525343214,0.1097333332151174,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7B0J2,75,0.48,36,Baseline (04),attention_weights,0.4188034188034188,0.4585287497076605,0.4444444477558136,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7B0J2,75,0.48,36,Baseline (04),integrated_gradients,0.4786324786324786,0.448147946108638,0.4444444477558136,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7B0J2,75,0.48,36,Baseline (04),random_mean,0.4988319088319089,0.5023016590150265,0.4763888901472091,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFB3,151,0.1589403973509933,24,Baseline (04),attention_weights,0.3428477690288714,0.1186049034321241,0.0416666679084301,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFB3,151,0.1589403973509933,24,Baseline (04),integrated_gradients,0.2585301837270342,0.1066117486758748,0.0416666679084301,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7AFB3,151,0.1589403973509933,24,Baseline (04),random_mean,0.4982808398950131,0.1850014567709748,0.1595833339914679,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6W8,79,0.379746835443038,30,Baseline (04),attention_weights,0.4068027210884353,0.3159432888054209,0.233333334326744,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6W8,79,0.379746835443038,30,Baseline (04),integrated_gradients,0.4496598639455783,0.3642076723021631,0.3666666746139526,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K6Z6W8,79,0.379746835443038,30,Baseline (04),random_mean,0.4943061224489796,0.4047168490643635,0.366000008136034,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7B0S9,108,0.1388888888888889,15,Baseline (04),attention_weights,0.3842293906810035,0.1362120456539583,0.1333333402872085,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
K7B0S9,108,0.1388888888888889,15,Baseline (04),integrated_gradients,0.4186379928315412,0.1229757544677601,0.0666666701436042,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/baseline_probing_rows.csv
