accession,seq_len,epitope_density,n_epitope_residues,method,auroc,auprc,precision_at_k
A0A6P6YDD5,536,0.11194029850746269,60,attention_weights,0.468312324929972,0.1303556735783561,0.11666666716337204
A0A6P6YF71,188,0.2925531914893617,55,attention_weights,0.511825017088175,0.3138447724684178,0.290909081697464
A5X5X4,155,0.1935483870967742,30,attention_weights,0.36533333333333334,0.15511553999145794,0.1666666716337204
A0A6P6Y415,156,0.09615384615384616,15,attention_weights,0.4666666666666667,0.08830110900258714,0.0
P00755,261,0.24904214559386972,65,attention_weights,0.40494505494505495,0.23053156326743351,0.20000000298023224
Q402I5,439,0.03416856492027335,15,attention_weights,0.6531446540880503,0.08980745301337832,0.13333334028720856
P51437,172,0.08139534883720931,14,attention_weights,0.26763110307414106,0.05603030777736158,0.0
O09043,419,0.057279236276849645,24,attention_weights,0.4025316455696203,0.049468350864334265,0.0
P03953,259,0.138996138996139,36,attention_weights,0.6320378674638765,0.21285383622036663,0.1944444477558136
A2AJD1,591,0.025380710659898477,15,attention_weights,0.749537037037037,0.05077499474253005,0.06666667014360428
B1AVU4,173,0.26011560693641617,45,attention_weights,0.5585069444444445,0.3273510257165163,0.2666666805744171
P61110,121,0.2727272727272727,33,attention_weights,0.43422865013774103,0.23867259280122882,0.1818181872367859
Q91X17,642,0.05451713395638629,35,attention_weights,0.5517533537302896,0.06218999461375021,0.0
P23492,289,0.05190311418685121,15,attention_weights,0.4233576642335767,0.046772148619821985,0.0
