accession,seq_len,epitope_density,n_epitope_residues,model_family,method,label_variant,auroc,auprc,precision_at_k,source_probe_rows_path
A0A834K244,251,0.549800796812749,138,Baseline (04),random_mean,original,0.4983153777093754,0.5571470491004579,0.5497825974225998,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A834K244,251,0.549800796812749,138,Baseline (04),random_mean,scrambled,0.5030697704245222,0.562885029098672,0.5511594080924987,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),attention_weights,original,0.2503213957759412,0.4994436985672064,0.5252525210380554,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),attention_weights,scrambled,0.3737373737373737,0.5753198237027444,0.5757575631141663,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),integrated_gradients,original,0.3658402203856749,0.5504792758720602,0.5656565427780151,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),integrated_gradients,scrambled,0.4918273645546373,0.6273090058496127,0.6464646458625793,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),gradient_x_input,original,0.3623507805325986,0.552169898625609,0.5757575631141663,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),gradient_x_input,scrambled,0.4866850321395776,0.6381415905976016,0.6363636255264282,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),smoothgrad_ig,original,0.3707988980716253,0.5519685647443173,0.5656565427780151,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),smoothgrad_ig,scrambled,0.4745638200183654,0.6547326616760427,0.6363636255264282,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),occlusion,original,0.5098255280073462,0.6475395871865364,0.6767676472663879,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),occlusion,scrambled,0.4410468319559228,0.6432308354907325,0.5858585834503174,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),random_mean,original,0.5070927456382003,0.6560672524081894,0.6463636368513107,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P49372,154,0.6428571428571429,99,Baseline (04),random_mean,scrambled,0.5110615243342516,0.6567986379288184,0.651111107468605,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),attention_weights,original,0.3365355911965046,0.3602610891119765,0.2947976887226105,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),attention_weights,scrambled,0.4971098265895954,0.4587955210205077,0.4393063485622406,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),integrated_gradients,original,0.6418355993378383,0.6530493446676573,0.5664739608764648,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),integrated_gradients,scrambled,0.4889956308176613,0.4474919938663654,0.4335260093212127,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),gradient_x_input,original,0.4716545903552335,0.4285038747882118,0.4219653308391571,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),gradient_x_input,scrambled,0.4598225189286005,0.4405672774181883,0.410404622554779,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),smoothgrad_ig,original,0.6451192705365139,0.6577466410687602,0.5549132823944092,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),smoothgrad_ig,scrambled,0.4857662351759884,0.4386511864195768,0.4450867176055908,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),occlusion,original,0.5852804689408125,0.5537264564519602,0.5028901696205139,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),occlusion,scrambled,0.491627995332302,0.4579350040209141,0.4335260093212127,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),random_mean,original,0.5024250318868898,0.4575295572020965,0.4494219663739204,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P01012,386,0.4481865284974093,173,Baseline (04),random_mean,scrambled,0.4963798203479063,0.4521713617310837,0.4453179189562797,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),attention_weights,original,0.4162768031189083,0.4100477010105535,0.3555555641651153,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),attention_weights,scrambled,0.5411306042884989,0.4811981927220329,0.4666666686534881,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),integrated_gradients,original,0.4799220272904483,0.419136676845056,0.4111111164093017,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),integrated_gradients,scrambled,0.5230019493177388,0.47374082648409,0.4555555582046509,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),gradient_x_input,original,0.5231968810916179,0.448722941882016,0.4444444477558136,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),gradient_x_input,scrambled,0.5369395711500975,0.4736352961842528,0.4333333373069763,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),smoothgrad_ig,original,0.4825536062378167,0.4191424502730008,0.422222226858139,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),smoothgrad_ig,scrambled,0.4828460038986354,0.4390259732780081,0.422222226858139,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),occlusion,original,0.5764132553606238,0.4836898265161721,0.5333333611488342,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),occlusion,scrambled,0.5241715399610136,0.4820190332893828,0.4555555582046509,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),random_mean,original,0.4920077972709551,0.4480237515914176,0.431555560529232,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0ABQ9K8N2,204,0.4411764705882353,90,Baseline (04),random_mean,scrambled,0.501746588693957,0.4573534944652404,0.4438888925313949,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),attention_weights,original,0.3384186351706036,0.0299132406162125,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),attention_weights,scrambled,0.660761154855643,0.0661903439244435,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),integrated_gradients,original,0.3379265091863517,0.0299690329803645,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),integrated_gradients,scrambled,0.6395997375328084,0.0716219785126665,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),gradient_x_input,original,0.3266076115485564,0.032175254127534,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),gradient_x_input,scrambled,0.505249343832021,0.0512390296997014,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),smoothgrad_ig,original,0.3398950131233595,0.0300431492396815,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),smoothgrad_ig,scrambled,0.3784448818897638,0.0322640709169881,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),occlusion,original,0.4865485564304462,0.0409060742718133,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),occlusion,scrambled,0.4901574803149606,0.0391892631608741,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),random_mean,original,0.5125951443569554,0.0548945878518983,0.045625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
P27762,397,0.0403022670025188,16,Baseline (04),random_mean,scrambled,0.5028510498687665,0.0527886265135868,0.04,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),attention_weights,original,0.4890873015873016,0.0406301128915634,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),attention_weights,scrambled,0.5248015873015873,0.0994089614878381,0.25,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),integrated_gradients,original,0.6793981481481481,0.0692328819912217,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),integrated_gradients,scrambled,0.550760582010582,0.0492574360130215,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),gradient_x_input,original,0.3852513227513228,0.0351938275541062,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),gradient_x_input,scrambled,0.4318783068783068,0.0595579990256038,0.125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),smoothgrad_ig,original,0.6764219576719577,0.0675767711524601,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),smoothgrad_ig,scrambled,0.4209656084656085,0.0378661491064541,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),occlusion,original,0.5900297619047619,0.0509548086977024,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),occlusion,scrambled,0.6129298941798942,0.0729353349402535,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),random_mean,original,0.4985102513227513,0.0567176235983515,0.04125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O65457,394,0.0406091370558375,16,Baseline (04),random_mean,scrambled,0.4955274470899471,0.0506264864507546,0.036875,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),attention_weights,original,0.4293478260869565,0.0349887392188749,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),attention_weights,scrambled,0.5760869565217391,0.065633768495611,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),integrated_gradients,original,0.2856457800511509,0.0269401722191181,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),integrated_gradients,scrambled,0.3836317135549872,0.0315253927155562,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),gradient_x_input,original,0.3871483375959079,0.0325177077049208,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),gradient_x_input,scrambled,0.6374680306905371,0.0741558591057929,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),smoothgrad_ig,original,0.2846867007672634,0.0269087793501033,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),smoothgrad_ig,scrambled,0.6830242966751918,0.0762768436795014,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),occlusion,original,0.4213554987212276,0.0373172415866462,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),occlusion,scrambled,0.5072730179028133,0.0451378750033867,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),random_mean,original,0.4940920716112532,0.0511816716231752,0.0375,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
A0A804JLZ5,407,0.0393120393120393,16,Baseline (04),random_mean,scrambled,0.4967071611253197,0.0526918058513704,0.0375,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),attention_weights,original,0.6038961038961039,0.0558315250352243,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),attention_weights,scrambled,0.4435064935064935,0.0355035897899344,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),integrated_gradients,original,0.4832792207792208,0.0378737494630988,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),integrated_gradients,scrambled,0.5465909090909091,0.0588492260055744,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),gradient_x_input,original,0.3345779220779221,0.033565814538732,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),gradient_x_input,scrambled,0.4262987012987013,0.0364631607150332,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),smoothgrad_ig,original,0.4836038961038961,0.0378491673873027,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),smoothgrad_ig,scrambled,0.6178571428571429,0.0557265439009741,0.0625,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),occlusion,original,0.4792207792207792,0.039392179689402,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),occlusion,scrambled,0.4724837662337662,0.0390921104543875,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),random_mean,original,0.5012402597402599,0.0510490481130873,0.033125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
O24554,401,0.0399002493765586,16,Baseline (04),random_mean,scrambled,0.4872889610389611,0.0512012055717894,0.033125,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
Q9C5M8,408,0.0392156862745098,16,Baseline (04),attention_weights,original,0.5094068877551021,0.0397199083458685,0.0,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
Q9C5M8,408,0.0392156862745098,16,Baseline (04),attention_weights,scrambled,0.4764030612244898,0.0917860337701348,0.1875,/Users/jianzhouyao/Library/Mobile Documents/com~apple~CloudDocs/Universität/ETH/DL in Biology/XAllergen2.0/results/probing/rows/baseline_probing_rows.csv
